,var,AUC_loss
270,CTriad_g6.g4.g4.na,0.000263025
804,CTDC_solventaccess.G2.na,0.00025908
253,CTriad_g6.g2.g1.na,0.000255611
209,CTriad_g5.g2.g6.na,0.000253164
556,DPC_LL.na,0.000251159
606,DPC_NY.na,0.000249875
564,DPC_LV.na,0.000248627
89,CTriad_g2.g6.g5.na,0.000248422
305,CTriad_g7.g2.g4.na,0.000247391
345,PAAC_Xc1.R.na,0.000233935
389,DPC_CD.na,0.000232671
639,DPC_QP.na,0.000230862
124,CTriad_g3.g4.g5.na,0.000230269
701,DPC_TR.na,0.000229877
415,DPC_DK.na,0.000228367
633,DPC_QH.na,0.000228304
566,DPC_LY.na,0.000227924
764,DPC_YV.na,0.000227913
35,CTriad_g1.g5.g7.na,0.00022774
1029,CTDT_polarizability.Tr1331.na,0.000224284
450,DPC_FE.na,0.000223008
40,CTriad_g1.g6.g5.na,0.000222721
704,DPC_TV.na,0.000221808
309,CTriad_g7.g3.g1.na,0.000218031
425,DPC_DW.na,0.000217803
616,DPC_PL.na,0.000213731
1,CTriad_g1.g1.g1.na,0.00021209
220,CTriad_g5.g4.g3.na,0.000211645
74,CTriad_g2.g4.g4.na,0.000208892
844,CTDD_hydrophobicity_ZIMJ680101.2.residue75.na,0.000208413
445,DPC_EW.na,0.000208044
840,CTDD_hydrophobicity_ZIMJ680101.1.residue100.na,0.000207436
430,DPC_EE.na,0.000207223
676,DPC_SL.na,0.000206142
682,DPC_SS.na,0.000205907
660,DPC_RQ.na,0.000205776
711,DPC_VF.na,0.000203957
610,DPC_PE.na,0.000203675
1007,CTDT_hydrophobicity_ZIMJ680101.Tr1221.na,0.000203518
518,DPC_IN.na,0.000202666
506,DPC_HY.na,0.000201511
476,DPC_GL.na,0.000200805
293,CTriad_g6.g7.g6.na,0.000200079
572,DPC_MG.na,0.000199844
155,CTriad_g4.g2.g1.na,0.000199058
261,CTriad_g6.g3.g2.na,0.000198286
717,DPC_VM.na,0.000198258
233,CTriad_g5.g6.g2.na,0.000198149
22,CTriad_g1.g4.g1.na,0.000197599
60,CTriad_g2.g2.g4.na,0.000196281
354,PAAC_Xc1.L.na,0.000194717
673,DPC_SH.na,0.000194695
226,CTriad_g5.g5.g2.na,0.000193729
1012,CTDT_hydrophobicity_PONP930101.Tr2332.na,0.000193388
703,DPC_TT.na,0.000192786
61,CTriad_g2.g2.g5.na,0.000192176
522,DPC_IS.na,0.000192165
358,PAAC_Xc1.P.na,0.000189035
235,CTriad_g5.g6.g4.na,0.000187822
141,CTriad_g3.g7.g1.na,0.000187133
146,CTriad_g3.g7.g6.na,0.000186507
977,CTDD_secondarystruct.2.residue25.na,0.000184424
429,DPC_ED.na,0.000183236
592,DPC_NG.na,0.000182762
180,CTriad_g4.g5.g5.na,0.000180482
489,DPC_HD.na,0.000178561
543,DPC_KT.na,0.000177763
436,DPC_EL.na,0.000176927
50,CTriad_g2.g1.g1.na,0.00017549
806,CTDD_hydrophobicity_PRAM900101.1.residue0.na,0.000175279
160,CTriad_g4.g2.g6.na,0.000175278
1016,CTDT_hydrophobicity_ENGD860101.Tr1221.na,0.000172614
533,DPC_KH.na,0.000172614
854,CTDD_hydrophobicity_PONP930101.1.residue75.na,0.00017179
544,DPC_KV.na,0.000171587
409,DPC_DD.na,0.000171526
510,DPC_IE.na,0.000171004
185,CTriad_g4.g6.g3.na,0.000170607
516,DPC_IL.na,0.000170121
82,CTriad_g2.g5.g5.na,0.000170038
172,CTriad_g4.g4.g4.na,0.000169761
667,DPC_SA.na,0.000166033
469,DPC_GD.na,0.000164986
113,CTriad_g3.g3.g1.na,0.000164696
724,DPC_VV.na,0.000161424
404,DPC_CV.na,0.000160812
191,CTriad_g4.g7.g2.na,0.000159654
272,CTriad_g6.g4.g6.na,0.000159585
118,CTriad_g3.g3.g6.na,0.000159304
603,DPC_NT.na,0.000158845
496,DPC_HL.na,0.000158654
669,DPC_SD.na,0.000155999
530,DPC_KE.na,0.00015539
372,DPC_AG.na,0.000154896
271,CTriad_g6.g4.g5.na,0.00015264
853,CTDD_hydrophobicity_PONP930101.1.residue50.na,0.000152392
495,DPC_HK.na,0.000151756
659,DPC_RP.na,0.000150404
66,CTriad_g2.g3.g3.na,0.000149741
319,CTriad_g7.g4.g4.na,0.000149247
262,CTriad_g6.g3.g3.na,0.000149092
31,CTriad_g1.g5.g3.na,0.000144655
658,DPC_RN.na,0.000143636
21,CTriad_g1.g3.g7.na,0.000143291
625,DPC_PW.na,0.000142993
298,CTriad_g7.g1.g4.na,0.000142905
128,CTriad_g3.g5.g2.na,0.00014263
835,CTDD_hydrophobicity_ARGP820101.3.residue100.na,0.000142091
427,DPC_EA.na,0.000141588
552,DPC_LG.na,0.000139883
744,DPC_WV.na,0.000139266
600,DPC_NQ.na,0.000138271
607,DPC_PA.na,0.000137016
650,DPC_RE.na,0.000136769
108,CTriad_g3.g2.g3.na,0.000135708
934,CTDD_polarity.2.residue75.na,0.00013565
590,DPC_NE.na,0.000135463
973,CTDD_secondarystruct.1.residue50.na,0.000134368
588,DPC_NC.na,0.000133755
449,DPC_FD.na,0.000132272
375,DPC_AK.na,0.000131961
255,CTriad_g6.g2.g3.na,0.000131817
745,DPC_WW.na,0.000131007
692,DPC_TG.na,0.000130775
239,CTriad_g5.g7.g1.na,0.000130139
765,DPC_YW.na,0.000129989
663,DPC_RT.na,0.000128265
315,CTriad_g7.g3.g7.na,0.000128216
539,DPC_KP.na,0.000128031
751,DPC_YF.na,0.000127091
584,DPC_MV.na,0.000126186
1037,CTDT_solventaccess.Tr1221.na,0.000126121
167,CTriad_g4.g3.g6.na,0.000125832
104,CTriad_g3.g1.g6.na,0.000125228
707,DPC_VA.na,0.000124864
611,DPC_PF.na,0.000124482
264,CTriad_g6.g3.g5.na,0.000123906
918,CTDD_normwaalsvolume.2.residue50.na,0.000123449
94,CTriad_g2.g7.g3.na,0.000122614
638,DPC_QN.na,0.000121699
2,CTriad_g1.g1.g2.na,0.00012145
412,DPC_DG.na,0.000121293
954,CTDD_polarizability.3.residue75.na,0.0001207
649,DPC_RD.na,0.000120627
152,CTriad_g4.g1.g5.na,0.000119432
400,DPC_CQ.na,0.000118719
597,DPC_NM.na,0.000118068
184,CTriad_g4.g6.g2.na,0.000117991
636,DPC_QL.na,0.000117175
297,CTriad_g7.g1.g3.na,0.000114641
602,DPC_NS.na,0.000113827
618,DPC_PN.na,0.000113447
579,DPC_MP.na,0.000111597
402,DPC_CS.na,0.000111444
