KU517786.1
KU517794.1
KU517802.1
JF714022.1
JF714011.1
JF714003.1
JF713995.1
CY039927.1
HF674897.1
HF674905.1
CY062629.1
CY125947.1
CY103894.1
CY103878.1
CY103886.1
CY009630.1
CY053647.1
KX247677.1
CY194447.1
CY159771.1
KC631898.1
KC631906.1
CY158627.1
CY097783.1
KX264672.1
GQ150330.1
CY195080.1
CY195329.1
CY195337.1
CY195361.1
CY195401.1
CY195473.1
CY245667.1
CY245675.1
CY245691.1
CY245755.1
CY245803.1
CY245859.1
CY245915.1
CY245987.1
MF768557.1
CY246091.1
CY246099.1
MF768525.1
CY246229.1
CY246406.1
CY246462.1
CY246478.1
CY246558.1
CY246542.1
MF768477.1
CY245643.1
CY246654.1
CY246757.1
CY158619.1
CY159035.1
KC222606.1
KC222574.1
FJ200416.1
KC222542.1
AB600863.1
KC876547.1
CY092326.1
KC876531.1
KC876555.1
KC876539.1
KC876523.1
CY075858.1
CY075866.1
CY044258.1
CY025004.1
CY157993.1
CY158931.1
CY159427.1
CY159917.1
CY159443.1
CY159435.1
KP137718.1
KP341361.1
KP341370.1
KY328178.1
KY454589.1
KY486462.1
KU695679.1
KT825089.1
KU229932.1
KU229910.1
KP341355.1
KP461619.1
KT965391.1
KU143638.1
KT198628.1
KT274678.1
MF582537.1
CY194607.1
CY157585.1
CY157785.1
CY157889.1
CY158131.1
CY158139.1
CY158147.1
CY159908.1
CY158259.1
CY158275.1
CY159933.1
CY159968.1
CY158467.1
CY158475.1
CY158483.1
CY158491.1
CY160061.1
CY160081.1
CY160089.1
CY158499.1
CY158507.1
CY159459.1
KJ889302.1
KJ889334.1
KJ889342.1
KJ889310.1
KJ889350.1
JN088204.1
EU163948.1
HM440053.1
HM440061.1
HM440069.1
HM440077.1
HM440085.1
HM440117.1
KF057131.1
FJ536763.1
KF057132.1
FJ536772.1
KR700901.1
KR701370.1
KR701433.1
KR701219.1
KR700817.1
KR699966.1
KR699974.1
KR701163.1
KR699894.1
KR701378.1
KR700841.1
KR700857.1
KR701227.1
KR700893.1
KR699886.1
KR699958.1
KR700825.1
KR701243.1
KR700030.1
KR699934.1
KR699950.1
KR701235.1
CY037993.1
KR699942.1
CY115875.1
GQ161172.1
CY077944.1
MG572190.1
KF683616.1
KM507542.1
KM496989.1
KM507521.1
KM507531.1
KM497005.1
KF680298.1
KF680292.1
KM507513.1
KM496997.1
KP027587.1
KP027595.1
KP027603.1
CY158611.1
CY245979.1
CY246067.1
CY246470.1
CY115883.1
KC779042.1
KM872088.1
KT356671.1
KT356663.1
KT735005.1
KU752446.1
MF425633.1
KY499604.1
KX830941.1
CY028782.1
JF707786.1
AB434346.1
AB434330.1
FJ752504.1
AB914494.1
AB914502.1
AB914486.1
AB910581.1
FJ200424.1
MF099003.1
MF098945.1
MF099018.1
MF099346.1
MF099126.1
MF099188.1
MF098931.1
MF098998.1
MF098935.1
MF098837.1
MF099338.1
MF099059.1
MF098996.1
MF099187.1
MF098903.1
MF098927.1
MF099226.1
MF098956.1
MF099326.1
MF099054.1
MF099178.1
MF099347.1
MF099146.1
MF099214.1
MF099284.1
MF099182.1
MF098958.1
MF099327.1
MF098843.1
MF099151.1
MF098875.1
MF099293.1
MF099355.1
MF099171.1
MF099363.1
MF099203.1
MF099094.1
MF099129.1
MF098821.1
CY207247.1
MF099080.1
MF099259.1
AB434322.1
AB434306.1
AB434314.1
EU053143.1
KC703323.1
CY207143.1
CY207151.1
CY207159.1
CY207167.1
CY207095.1
CY207119.1
KC703346.1
KC703317.1
KC703311.1
CY207127.1
CY207103.1
CY207111.1
CY207135.1
CY207055.1
CY207047.1
KC197816.1
CY159451.1
CY009302.1
JX092588.1
KC436073.1
KY382395.1
KX358881.1
CY157697.1
CY158267.1
AM777830.1
AM777824.1
CY115837.1
CY115844.1
CY115851.1
KC345641.1
CY116369.1
CY116390.1
AM777826.1
AM777825.1
MF099168.1
MF194680.1
KR700570.1
KR700578.1
KR700059.1
KR700067.1
KR700075.1
KR700131.1
KR700123.1
KR700083.1
KF514381.1
KR700479.1
KR700091.1
KR700099.1
KR700107.1
KR700115.1
KC900266.1
KC900258.1
KC900277.1
KC900246.1
CY038025.1
EU053135.1
KC222582.1
HM440093.1
HM440109.1
HM440125.1
HM440133.1
KC222534.1
AB434410.1
MF099337.1
CY115898.1
KR700650.1
KR700634.1
CY115906.1
CY115914.1
CY115921.1
CY115929.1
KR700447.1
KR700785.1
KR701091.1
KR701059.1
KR700761.1
KR700495.1
KR700415.1
KR700431.1
KR700777.1
KR700423.1
