LC316712.1
LC316680.1
LC316688.1
LC316696.1
LC316704.1
KJ729372.1
KJ729356.1
KJ729364.1
KJ729348.1
AB753214.1
MF613935.1
MF046490.1
MF613743.1
MG599645.1
MF613774.1
MF613701.1
KU289745.1
CY079459.1
CY097057.1
CY097541.1
KP636475.1
CY190594.1
CY190690.1
CY191034.1
CY191042.1
CY191282.1
EU500849.1
CY138647.1
CY138655.1
CY138671.1
CY138679.1
CY138776.1
CY138824.1
CY138849.1
CY138857.1
CY138865.1
CY138873.1
CY138052.1
CY138881.1
CY138889.1
CY138897.1
CY138905.1
CY138913.1
CY138921.1
CY138060.1
CY138940.1
CY138948.1
CY138956.1
CY138964.1
CY138972.1
CY138991.1
CY139039.1
CY139047.1
CY139066.1
CY139074.1
CY139082.1
CY138072.1
CY139090.1
CY139098.1
CY139114.1
CY139131.1
CY139139.1
CY139147.1
CY139155.1
CY139172.1
CY139180.1
CY139188.1
CY139206.1
CY139214.1
CY139222.1
CY139246.1
CY139334.1
CY139351.1
CY139376.1
CY139392.1
CY139400.1
CY139428.1
CY138080.1
CY139466.1
CY138088.1
CY139496.1
CY139512.1
CY139538.1
CY139557.1
CY129381.1
CY128765.1
CY128773.1
CY129268.1
CY129341.1
CY129157.1
CY128721.1
CY129317.1
CY129260.1
CY129301.1
CY129212.1
CY129077.1
CY129365.1
CY129325.1
CY129252.1
CY128757.1
CY128675.1
CY129053.1
CY128781.1
CY129101.1
CY129069.1
CY129220.1
CY129228.1
CY129194.1
CY129085.1
CY129117.1
CY129109.1
CY129061.1
CY129133.1
CY129141.1
CY129093.1
CY129149.1
CY129165.1
CY129349.1
CY129021.1
CY128989.1
CY129013.1
CY128957.1
CY129037.1
CY129029.1
CY128981.1
CY128491.1
CY128523.1
CY128531.1
CY128515.1
CY128572.1
CY128499.1
CY128507.1
CY128997.1
CY128973.1
CY128555.1
CY128539.1
CY128547.1
CY129333.1
CY129244.1
CY128729.1
CY129285.1
CY045310.1
CY095425.1
CY095433.1
CY095441.1
CY095449.1
CY045318.1
CY047703.1
CY095497.1
CY095505.1
KC464563.1
KC464571.1
KC464579.1
KC464587.1
KC492251.1
KC492259.1
KC492267.1
KC492275.1
KC492283.1
KC492291.1
KC492299.1
KC492379.1
KC492387.1
KC492395.1
KC492411.1
KC492307.1
KC492331.1
KC492347.1
KC492363.1
KC492371.1
KC492315.1
KC492355.1
CY144578.1
CY138535.1
CY138559.1
CY138575.1
CY138583.1
CY138591.1
CY138599.1
CY138615.1
CY138623.1
CY138631.1
CY138639.1
CY128901.1
CY128885.1
CY125661.1
CY128859.1
CY125629.1
CY187028.1
CY186599.1
CY204160.1
KY284390.1
CY139230.1
CY139238.1
CY139286.1
CY129173.1
CY125645.1
CY128909.1
CY128941.1
CY128835.1
CY128843.1
CY128851.1
CY125637.1
CY095457.1
CY095465.1
CY095473.1
CY047655.1
CY133281.1
CY166572.1
CY166904.1
CY096985.1
CY075948.1
CY076100.1
CY097166.1
CY079411.1
KY561276.1
CY076172.1
KU289753.1
KU289761.1
KU289769.1
KU289777.1
KU289785.1
KU289793.1
KU289801.1
KU289809.1
KU289817.1
KU289825.1
KU289833.1
KU289841.1
KU289849.1
KU289857.1
KU289865.1
KU289878.1
KU289886.1
KU289894.1
KY551281.1
KX714367.1
KX714375.1
KX714383.1
KX714391.1
KX714311.1
KX714399.1
KX714407.1
KX714415.1
KX714423.1
KX714431.1
KX714439.1
KX714447.1
KX714455.1
KX714463.1
KX714471.1
KX714319.1
KX714327.1
KX714335.1
KT338346.1
KT338354.1
JX080847.1
JX080813.1
JX080827.1
JX080804.1
JX080818.1
JX080816.1
JX080786.1
JX080823.1
JX080794.1
JX080796.1
JX080799.1
JX080795.1
JX080798.1
JX080834.1
KX714343.1
KT338409.1
KT338417.1
KT338449.1
KT338534.1
KT338566.1
KX714351.1
KX714359.1
CY076356.1
CY076012.1
CY047018.1
CY076236.1
CY076348.1
CY076364.1
CY076420.1
CY076444.1
CY076028.1
CY045382.1
CY076684.1
CY076692.1
KY550768.1
KY550752.1
KY550822.1
CY033441.1
KY550846.1
KY551297.1
KY551328.1
KU201725.1
CY079475.1
CY132900.1
CY132924.1
CY132980.1
CY132996.1
CY133004.1
CY133020.1
CY133536.1
CY133044.1
CY166393.1
CY186682.1
KY561018.1
KY284445.1
CY097210.1
CY097202.1
KY550885.1
CY130476.1
CY135678.1
CY135736.1
CY136050.1
CY136026.1
CY143491.1
CY143507.1
CY143523.1
CY143531.1
CY143555.1
CY143563.1
CY143571.1
CY143579.1
CY143587.1
CY196024.1
CY196032.1
CY196096.1
CY196152.1
CY196160.1
CY196185.1
CY196225.1
CY196233.1
CY196293.1
CY196301.1
CY196386.1
CY196650.1
CY038383.1
CY039799.1
CY077387.1
CY077245.1
CY047034.1
CY143177.1
CY143201.1
CY143451.1
CY135462.1
CY135406.1
CY135534.1
CY135542.1
CY135558.1
CY142013.1
CY142433.1
CY142441.1
CY142617.1
CY142633.1
CY142032.1
CY142048.1
CY142072.1
CY142977.1
KY551020.1
KY551250.1
CY047687.1
CY190034.1
CY140859.1
CY079315.1
CY133676.1
CY133684.1
CY133692.1
CY133700.1
CY166775.1
CY166839.1
CY133648.1
CY167182.1
CY167199.1
CY167239.1
CY167247.1
CY186795.1
KY561176.1
KY561186.1
CY097685.1
CY097693.1
CY097158.1
KY550901.1
CY133364.1
KY583747.1
KY284504.1
KY561118.1
KY561069.1
CY186854.1
CY186862.1
CY186926.1
CY186564.1
CY187036.1
KJ527635.1
KJ527619.1
KJ568190.1
KJ567998.1
KJ568254.1
KJ568214.1
KJ568054.1
KJ568134.1
KJ567910.1
KJ568246.1
KJ568158.1
KJ567926.1
KJ568278.1
KJ568014.1
KJ567982.1
KJ567878.1
KJ568062.1
KJ568078.1
KJ567990.1
KJ568414.1
KJ568374.1
KJ567870.1
KJ568110.1
KJ568302.1
KJ568142.1
KJ568318.1
KJ567854.1
KJ568094.1
KJ568358.1
KY583998.1
KY584001.1
KY284456.1
CY076044.1
CY076484.1
KU201733.1
KY551092.1
KY551084.1
KY551068.1
KY551124.1
KY551116.1
KY551100.1
KY551108.1
CY140960.1
CY141064.1
KY551305.1
KY551456.1
KY551392.1
KY551408.1
KP739418.1
CY079427.1
CY079435.1
CY079347.1
CY079371.1
CY132948.1
CY133092.1
CY133241.1
CY133160.1
CY166329.1
CY166540.1
CY166636.1
CY166644.1
CY166652.1
CY166193.1
CY166233.1
CY166687.1
CY187159.1
CY187167.1
CY187134.1
CY187191.1
CY187142.1
KJ568030.1
KJ568118.1
KJ568390.1
CY097461.1
CY097365.1
CY097509.1
KX185900.1
CY043983.1
CY035804.1
CY077363.1
CY077213.1
CY166799.1
CY166831.1
GU050066.1
CY101805.1
CY133884.1
CY134318.1
CY133892.1
CY120634.1
CY177028.1
CY093797.1
CY093805.1
CY093813.1
CY093821.1
CY094388.1
CY094396.1
CY093829.1
CY093837.1
CY094404.1
CY093845.1
CY093853.1
CY094412.1
CY094420.1
KX351722.1
CY094428.1
CY033353.1
CY032897.1
CY033385.1
CY093861.1
CY033393.1
CY032701.1
CY033409.1
CY033417.1
CY032905.1
CY033433.1
CY094436.1
KY983189.1
KY983125.1
KY983174.1
KY983169.1
KY983200.1
KY983179.1
KY983171.1
KX351747.1
KX351648.1
KY828647.1
KX960428.1
CY196350.1
CY196378.1
CY078922.1
CY130339.1
CY133463.1
GQ923196.1
GQ923204.1
CY140542.1
CY140550.1
MG280257.1
KY575193.1
CY140630.1
CY133431.1
CY125452.1
CY125540.1
CY125516.1
CY125468.1
CY125548.1
CY125556.1
CY125460.1
CY125300.1
CY125532.1
CY125476.1
MG279957.1
MG279796.1
KU201749.1
KU201613.1
KY551352.1
KU201877.1
KU201885.1
KU201821.1
KU201853.1
KU201861.1
HQ244404.1
HM570065.1
KU646949.1
KU646965.1
KU646981.1
KU646973.1
KP636483.1
KM251532.1
MF040669.1
KT699053.1
KT717279.1
KT717287.1
KT717295.1
KT717303.1
KT717263.1
KT717255.1
KT717271.1
KT717239.1
KT717247.1
KT717207.1
KT717215.1
KT717223.1
KT717231.1
KM076701.1
KU881709.1
KU881701.1
KU881717.1
KU881693.1
KU881685.1
KU881669.1
KU881677.1
KM245336.1
CY185362.1
CY185354.1
CY077623.1
JQ973647.1
GQ203121.1
KJ508929.1
KJ508963.1
KJ508977.1
KJ508993.1
KJ509001.1
KJ509009.1
KJ509025.1
KJ509033.1
MF575248.1
MF575048.1
MF147820.1
MF147154.1
CY076983.1
CY041281.1
CY017772.1
CY021620.1
KT327408.1
CY177448.1
CY076124.1
CY179834.1
GU050249.1
JX080807.1
EU500841.1
GU050112.1
GU050127.1
CY127920.1
MF613753.1
KU201941.1
GQ923364.1
CY021684.1
KU201741.1
GQ923356.1
KU201917.1
GU050135.1
GQ923324.1
GQ923332.1
AF508651.1
AF508653.1
AF508654.1
GU052088.1
AF508648.1
HM006748.1
AY180774.1
AF508655.1
AF508658.1
AF508656.1
FJ610141.1
KX185913.1
AB753174.1
KF768206.1
MF399545.1
MF399577.1
KU201925.1
KJ509017.1
KT454936.1
MF040677.1
MF040685.1
CY016786.1
MF073914.1
EU443540.1
EU443537.1
EU443533.1
FM165519.1
CY017042.1
CY036178.1
MF362100.1
KP865926.1
AY180717.1
CY117202.1
CY117210.1
CY117218.1
GQ404712.1
GQ404720.1
AB753182.1
KR010432.1
KR010440.1
JQ710454.1
KX978246.1
KX977755.1
KX977979.1
MF145937.1
KX978172.1
KX978918.1
KX978696.1
KX979372.1
KX977598.1
KX979431.1
MF147485.1
CY043863.1
MF575032.1
KF695259.1
MF575141.1
CY077055.1
MF575198.1
KX979038.1
MF362161.1
CY041369.1
MF147637.1
KX979123.1
MF146443.1
MF147409.1
MF694059.1
MF147120.1
CY130149.1
MF399633.1
MF399537.1
MF399585.1
MF399593.1
MF399625.1
MF399641.1
MF399657.1
KT454944.1
GU052080.1
MF399609.1
CY034837.1
CY031227.1
CY035961.1
CY028514.1
CY036001.1
CY028603.1
CY034285.1
CY031658.1
CY031682.1
CY031730.1
CY033288.1
CY034245.1
CY031770.1
CY028579.1
CY035929.1
CY037070.1
GQ923140.1
CY023973.1
CY024557.1
CY024341.1
CY024493.1
CY024413.1
CY024509.1
KR010424.1
CY149371.1
AB753190.1
AB753206.1
EU182262.1
CY036074.1
KC535016.1
JN714475.1
KJ509121.1
JF917100.1
JN202572.1
JN202573.1
AY633211.1
CY100631.1
KY320439.1
CY185568.1
MF147817.1
EU443536.1
GQ907317.1
GQ907325.1
GU186752.1
JX420235.1
JX420131.1
JX420219.1
JX420187.1
CY046163.1
JN860169.1
JF916710.1
HM050396.1
KF013941.1
JX420227.1
CY034853.1
CY036009.1
CY031714.1
CY033232.1
CY033272.1
CY095059.1
CY036041.1
CY034797.1
CY095235.1
CY095227.1
CY029532.1
EU930971.1
EU930987.1
EU931011.1
CY029636.1
CY029668.1
CY029572.1
CY029676.1
CY029692.1
CY029700.1
CY029716.1
CY029740.1
CY029756.1
CY029764.1
KX513329.1
KX513379.1
AB593436.1
LC167699.1
LC167739.1
LC167747.1
LC167755.1
LC167763.1
LC194844.1
LC167539.1
LC167547.1
LC167555.1
LC167563.1
LC167579.1
LC167619.1
LC167643.1
LC194836.1
LC167795.1
LC167787.1
AB742252.1
CY030316.1
CY030396.1
CY030404.1
CY030436.1
CY030260.1
