"","Iteration","Lh","Tree.No","qAB","qAD","qAE","qAH","qAP","qBA","qBD","qBE","qBH","qBP","qDA","qDB","qDE","qDH","qDP","qEA","qEB","qED","qEH","qEP","qHA","qHB","qHD","qHE","qHP","qPA","qPB","qPD","qPE","qPH","RecNode.P.A.","RecNode.P.B.","RecNode.P.D.","RecNode.P.E.","RecNode.P.H.","RecNode.P.P."
"20",49000,-152.881874,1,0,0.689311,0,0,0.689311,10.43185,0,10.43185,10.43185,0,0,10.43185,0.689311,0.689311,0.689311,10.43185,0.689311,0.689311,0,0,0,0,0,0,10.43185,0.689311,0.689311,0,0,0.689311,0.166859,0.166715,0.166698,0.166878,0.166399,0.16645
"21",51000,-152.687351,1,0.905591,0,0,0,0.905591,20.221073,20.221073,20.221073,20.221073,0,0.905591,20.221073,0.905591,0.905591,0,20.221073,0.905591,0.905591,0,0,0.905591,0,0,0,20.221073,0.905591,0.905591,0,0,0.905591,0.16669,0.166673,0.166674,0.166692,0.166635,0.166637
"22",53000,-156.354981,1,0,0.873614,0.873614,0,0.873614,21.122194,21.122194,21.122194,21.122194,0.873614,0.873614,21.122194,21.122194,0,0,21.122194,0,0.873614,0.873614,0,0,0.873614,0,0,21.122194,0.873614,0,0,0,0.873614,0.16726,0.16684,0.16708,0.16726,0.165772,0.165789
"23",55000,-154.763986,1,0,0,0.713755,0,0.713755,0,20.277308,20.277308,0,0.713755,0.713755,20.277308,20.277308,0.713755,0,20.277308,0,20.277308,0.713755,0,0,0,0,0,20.277308,0.713755,0.713755,0,0,0.713755,0.166721,0.16672,0.16672,0.16672,0.166554,0.166566
"24",57000,-154.646206,1,0,0,0.710884,0,0.710884,0.710884,0,0.710884,0.710884,0.710884,0,12.05664,12.05664,12.05664,0,12.05664,0.710884,12.05664,0.710884,0.710884,0.710884,0,0.710884,0,12.05664,0.710884,0.710884,0,0,0.710884,0.167743,0.166492,0.166532,0.167078,0.166079,0.166076
"25",59000,-154.820943,1,0,0,0.729215,0,0.729215,0.729215,0,0,0.729215,0.729215,0,0.729215,6.88445,6.88445,0.729215,6.88445,6.88445,6.88445,0.729215,0,0,0.729215,0.729215,0.729215,6.88445,0.729215,0,0.729215,0,0.729215,0.167766,0.166211,0.166478,0.166791,0.166321,0.166433
"26",61000,-154.162617,1,0,0,1.128115,0,1.128115,1.128115,0,9.69909,0,0,9.69909,1.128115,9.69909,0,1.128115,1.128115,9.69909,9.69909,0,1.128115,1.128115,9.69909,1.128115,0,9.69909,1.128115,0,0,0,1.128115,0.166669,0.166686,0.166675,0.16668,0.16666,0.166631
"27",63000,-164.948479,1,0,0,1.087726,0,1.087726,0,0,1.087726,1.087726,0,1.087726,1.087726,0,1.087726,1.087726,1.087726,1.087726,1.087726,0,1.087726,1.087726,1.087726,1.087726,0,1.087726,1.087726,0,0,0,1.087726,0.167917,0.164602,0.166533,0.166533,0.166533,0.167882
"28",65000,-161.345923,1,0,0,0.960153,0,0.960153,0,0,0,0,0,0.960153,0,0,0,0,0.960153,0.960153,0.960153,0.960153,0.960153,0,0,0,0.960153,0.960153,0.960153,0,0,0,0.960153,0.198635,0,0.247821,0.142454,0.194114,0.216975
"29",67000,-163.4266,1,0,0,0.800171,0,0.800171,0,0,0.800171,0,0,0,0.800171,0.800171,0.800171,0.800171,0.800171,0.800171,0.800171,0.800171,0.800171,0,0,0.800171,0,0.800171,0.800171,0,0,0,0.800171,0.185554,0.136458,0.160707,0.166048,0.167805,0.183427
"30",69000,-165.73437,1,0,0,0.761071,0,0.761071,0,0,0.761071,0,0.761071,0.761071,0,0,0.761071,0.761071,0.761071,0.761071,0.761071,0.761071,0.761071,0,0.761071,0,0,0.761071,0.761071,0,0,0,0.761071,0.175109,0.163939,0.167975,0.166545,0.158229,0.168203
"31",71000,-160.784381,1,0,0,1.01276,0,1.01276,0,0,0,0,0,1.01276,0,0,1.01276,0,1.01276,1.01276,1.01276,0,1.01276,1.01276,1.01276,1.01276,1.01276,1.01276,1.01276,0,0,0,1.01276,0.235823,0,0.234175,0.147156,0.147156,0.235689
"32",73000,-163.237517,1,0,0,0,0,1.676702,0,1.676702,0,1.676702,0,1.676702,0,1.676702,0,1.676702,1.676702,1.676702,1.676702,0,0,1.676702,1.676702,1.676702,1.676702,1.676702,1.676702,0,0,0,1.676702,0.166545,0.16679,0.166644,0.166704,0.166684,0.166632
"33",75000,-163.551621,1,0,0,0,0,1.362334,1.362334,0,0,1.362334,0,0,0,1.362334,0,1.362334,1.362334,1.362334,1.362334,0,0,0,1.362334,1.362334,1.362334,1.362334,1.362334,0,0,0,1.362334,0.166202,0.166522,0.167101,0.166702,0.16686,0.166613
"34",77000,-164.298654,1,0,0,0.941289,0,0.941289,0.941289,0.941289,0,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0,0.941289,0.941289,0.941289,0.941289,0.941289,0.941289,0,0,0,0.941289,0.166747,0.166655,0.166636,0.166594,0.166636,0.166731
"35",79000,-156.752582,1,0,0.020457,0.020457,0.020457,1.289597,0.020457,0,0.020457,0,0,0,0,1.289597,0,1.289597,0.020457,0,1.289597,0.020457,0,0,1.289597,0.020457,0,1.289597,1.289597,0.020457,0,0,1.289597,0.254969,0.01231,0.22567,0.231005,0.090117,0.18593
"36",81000,-157.343239,1,0.101436,0.101436,0.101436,0.101436,1.464682,0,0.101436,0.101436,0.101436,0.101436,1.464682,0,0,1.464682,1.464682,0.101436,0,1.464682,0.101436,0.101436,0.101436,0.101436,0.101436,0.101436,1.464682,1.464682,0,0,0,1.464682,0.178682,0.106105,0.179196,0.180711,0.17611,0.179196
"37",83000,-156.884846,1,0,0.123374,0.123374,0,1.386428,0.123374,0,0.123374,0.123374,1.386428,1.386428,0,0.123374,0,0.123374,0.123374,0,0,0,0.123374,1.386428,1.386428,0.123374,0.123374,1.386428,1.386428,0.123374,0.123374,0,1.386428,0.184286,0.180545,0.182579,0.083804,0.182345,0.18644
"38",85000,-157.028961,1,0.115546,0.115546,0.115546,0,1.663915,0.115546,0.115546,0.115546,0.115546,0.115546,1.663915,0.115546,0.115546,0.115546,1.663915,0.115546,0,0.115546,0,0,0.115546,1.663915,0.115546,0.115546,1.663915,1.663915,0,0,0,1.663915,0.195611,0.14658,0.194498,0.106512,0.168392,0.188407
"39",87000,-157.149474,1,0,0.091686,0.091686,0.091686,2.01675,0.091686,0.091686,0.091686,0,2.01675,0,0.091686,0,0,2.01675,2.01675,0,0,0,0,0.091686,2.01675,0,0.091686,2.01675,2.01675,0.091686,0,0,2.01675,0.165979,0.165567,0.16395,0.17321,0.165626,0.165668
"40",89000,-157.125516,1,0,0.097132,0.097132,0.097132,1.199606,0.097132,0,0,0.097132,0,1.199606,1.199606,1.199606,1.199606,1.199606,0,0.097132,0,0,1.199606,0,1.199606,0,0,1.199606,1.199606,0.097132,0.097132,0.097132,1.199606,0.222291,0.08288,0.168304,0.200809,0.137081,0.188635
"41",91000,-159.135031,1,0,0.080746,0.080746,0,0.988001,0,0.988001,0.988001,0.988001,0.988001,0.988001,0.988001,0.988001,0.080746,0.988001,0.080746,0,0,0.080746,0.988001,0.988001,0.988001,0,0.080746,0.988001,0.988001,0.080746,0.080746,0,0.988001,0.172644,0.164068,0.165412,0.159794,0.167996,0.170087
"42",93000,-160.572375,1,0.926676,0,0,0,0.926676,0.926676,0.926676,0.926676,0.926676,0.926676,0.926676,0.926676,0.926676,0.926676,0,0,0.926676,0,0,0.926676,0.926676,0,0.926676,0.926676,0.926676,0.926676,0,0,0,0.926676,0.167891,0.166449,0.166023,0.165405,0.166449,0.167783
"43",95000,-161.776075,1,0,0,0,0,1.205625,1.205625,1.205625,1.205625,0,1.205625,0,1.205625,1.205625,1.205625,0,1.205625,0,1.205625,1.205625,0,1.205625,1.205625,1.205625,1.205625,1.205625,1.205625,0,0,0,1.205625,0.165215,0.166867,0.167724,0.167102,0.166867,0.166225
"44",97000,-163.479585,1,0,0,0,0,1.954027,0,0,0,0,1.954027,0,0,1.954027,1.954027,1.954027,1.954027,1.954027,0,1.954027,1.954027,1.954027,1.954027,1.954027,1.954027,1.954027,1.954027,0,0,0,1.954027,0.167037,0.166228,0.166634,0.166633,0.166633,0.166836
"45",99000,-163.240256,1,0,0,0,0,1.898187,0,1.898187,1.898187,1.898187,0,1.898187,1.898187,1.898187,0,1.898187,1.898187,1.898187,1.898187,0,0,1.898187,1.898187,1.898187,1.898187,1.898187,1.898187,0,0,0,1.898187,0.166599,0.166717,0.166676,0.166688,0.166676,0.166645
"46",101000,-163.232225,1,0,0,0,0,2.067343,0,2.067343,0,0,0,0,2.067343,0,2.067343,2.067343,0,2.067343,0,0,2.067343,2.067343,2.067343,2.067343,2.067343,2.067343,2.067343,0,0,0,2.067343,0.173896,0.159864,0.165,0.163973,0.166454,0.170813
"47",103000,-163.114205,1,0,0,0,0,2.049581,2.049581,2.049581,2.049581,0,0,0,2.049581,0,0,0,2.049581,2.049581,2.049581,0,0,0,0,2.049581,2.049581,2.049581,2.049581,0,0,0,2.049581,0.168776,0.166516,0.164706,0.166516,0.165961,0.167525
